Location,Level,Job Type,Contract Type,Experience,Tech Stacks,Salary,Time
 Thành phố Hà Nội,Senior,In Office,Fulltime,5 years,"Python, Database, Data Science",30.000.000 VND to 50.000.000 VND,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,2 years,"Oracle, Data Engineer, PostgreSql",20.000.000 VND to 35.000.000 VND,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Fintech, Business Analyst, Core Banking",25.000.000 VND to 40.000.000 VND,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,2 years,"Java, JavaScript, Solution Architect",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Java, SQL, Java Core",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Senior,In Office,Fulltime,4 years,"NodeJS, Full-Stack, ReactJS",Negotiable,1 week ago
 Thành phố Hà Nội,"Middle, Senior",In Office,Fulltime,3 years,"Agile, Project Manager, Waterfall",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Junior, Middle",Hybrid,Fulltime,1 year,"Python, AI, Tensorflow",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Junior, Middle",Hybrid,Fulltime,1 year,"Tester, Automation Tester, Manual Test",Negotiable,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,3 years,"Java, AWS, Solution Architect",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,Manager,Hybrid,Fulltime,3 years,"PMO, Scrum Master",Negotiable,1 week ago
 Thành phố Hà Nội,"Manager, Leader, Senior",In Office,Fulltime,7 years,"Java, Spring, Database, Technical Leader, Java EE",Negotiable,1 week ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,2 years,"Ruby on Rails, MySQL, AWS",1.200 USD to 2.000 USD,1 week ago
 Thành phố Hồ Chí Minh,"Middle, Senior",In Office,Fulltime,3 years,"PHP, Ruby on Rails, AWS",1.200 USD to 2.000 USD,1 week ago
 Thành phố Hồ Chí Minh,"Junior, Middle, Senior",In Office,Fulltime,1 year,"PHP, Ruby, Scrum Master",From 1.500 USD,1 week ago
 Thành phố Hà Nội,Senior,In Office,Fulltime,10 years,"Python, Scala, Data Engineer, PostgreSql, Data Warehouse",Negotiable,2 weeks ago
